Project_Name;ea;ea_cluster;ea_type_code;ea_type;loan_type;loan_type_code;ap;loan_val_mil_usd;project_type;project_type_code
Additional Loan Karian Dam Project;KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT;3;1;Kementerian/Lembaga;Pinjaman Luar Negeri;1;5;50000;Pembangunan Infrastruktur;3
Water Resources Development in the Eastern Semarang through Upgrade of the Kedung Ombo Dam, Central Java Province, Indonesia;KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT;3;1;Kementerian/Lembaga;Pinjaman Luar Negeri;1;5;100000;Pembangunan Infrastruktur;3
The Project for Upgrading Dams under Operation in Brantas River Basin;KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT;3;1;Kementerian/Lembaga;Pinjaman Luar Negeri;1;5;313200;Pembangunan Infrastruktur;3
Jenelata Dam Construction Project;KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT;3;1;Kementerian/Lembaga;Pinjaman Luar Negeri;1;5;300000;Pembangunan Infrastruktur;3
Riam Kiwa Dam Construction Project;KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT;3;1;Kementerian/Lembaga;Pinjaman Luar Negeri;1;5;250000;Pembangunan Infrastruktur;3
Lambakan Dam Construction Project;KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT;3;1;Kementerian/Lembaga;Pinjaman Luar Negeri;1;5;550000;Pembangunan Infrastruktur;3
Pelosika Dam Construction Project;KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT;3;1;Kementerian/Lembaga;Pinjaman Luar Negeri;1;5;510000;Pembangunan Infrastruktur;3
Karian Dam-Serpong Water Conveyance System;KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT;3;1;Kementerian/Lembaga;Pinjaman Luar Negeri;1;5;402778;Pembangunan Infrastruktur;3
River Basin Improvement Program: Modernization of National Water Resources Information System;KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT;3;1;Kementerian/Lembaga;Pinjaman Luar Negeri;1;5;50000;Pembangunan Infrastruktur;3
Asahan Irrigation Development in North Sumatera;KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT;3;1;Kementerian/Lembaga;Pinjaman Luar Negeri;1;5;515000;Pembangunan Infrastruktur;3
Comprehensive Disaster Reduction and Management Improvement of Jeneberang River Basin;KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT;3;1;Kementerian/Lembaga;Pinjaman Luar Negeri;1;5;288000;Pembangunan Infrastruktur;3
National Urban Flood Resilience Program (NUFReP);KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT;3;1;Kementerian/Lembaga;Pinjaman Luar Negeri;1;5;400000;Pembangunan Infrastruktur;3
Flood Management and Coastal Protection in North Java;KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT;3;1;Kementerian/Lembaga;Pinjaman Luar Negeri;1;5;500000;Pembangunan Infrastruktur;3
Integrated Urban Flood Management Project in JABODETABEK;KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT;3;1;Kementerian/Lembaga;Pinjaman Luar Negeri;1;5;500000;Pembangunan Infrastruktur;3
"Urgent Disaster Reduction of Mt. Semeru, Mt. Kelud, Mt. Agung, and Other Erupted Volcanoes
in Indonesia";KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT;3;1;Kementerian/Lembaga;Pinjaman Luar Negeri;1;5;174000;Pembangunan Infrastruktur;3
